Title,Name,Part of volume,Physical description,Acquisition,destination,Languages,Authors,Mentions,Party to the Deed,Key Words,Notes,URL
[u'MS. Heb. a. 2/17'],[u'A business letter in Arabic sent from Alexandria to \u05d0\u05d1\u05d5 \u05d0\u05dc\u05db\u05d9\u05e8 \u05d1\u05df \u05d6\u05db\u05e8\u05d9\u05d0 \u05d1\u05df ... by \u05d9\u05d7\u05d9\u05d9 \u05d1\u05df \u05de\u05e0\u05d8\u05d9 (?)'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'17a', u'17b']",[u'Main language: Judeo-Arabic.'],['Yaya b.  (?)'],"[u'Ya\u1e25ya b. \u05de\u05e0\u05d8\u05d9 (?)', u""Abu 'l-fadhl"", u""Abu 'l-khair b. Zecharia"", u'Abu \u1e6cayyib']",[],"[u'Letters. Arabic.', u'Ya\u1e25ya b. \u05de\u05e0\u05d8\u05d9 (?). Letter.']","[u'dated in the month of Siwan\u200e.\u200e All the names in it are Arabic\u200e,\u200e e\u200e.\u200eg\u200e.\u200e \u05d0\u05d1\u05d5 \u05d0\u05dc\u05e4\u05e6\u0307\u05dc  \u200e,\u200e \u05d0\u05dc\u05e9\u05d9\u05da \u05d0\u05d1\u05d5 \u05d8\u05d9\u05d9\u05d1 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/18add822-65a2-4f6e-816d-c0ecaaf101b8
[u'MS. Heb. a. 2/18'],[u'A business letter in Arabic'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e paper \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'18a', u'18b']",[u'Main language: Judeo-Arabic.'],['Israel b. Nathan'],"[u'Israel b. Nathan', u""Abu 'l-fadhl"", u'Abu \u1e6cayyib', u'Abu Ya\u1e25ya Nahrai b. Nissim', u'Nahrai b. Nissim (Abu Ya\u1e25ya)']",[],"[u'Israel b. Nathan. Letter.', u'Letters. Arabic.']","[u'from Alexandria \u200e,\u200e dated in the month of Siwan\u200e,\u200e addressed \u05dc\u05d0\u05db\u05d9 \u05d5\u05e1\u05d9\u05d3\u05d9 \u05d0\u05d1\u05d9 \u05d9\u05d7\u05d9\u05d9 \u05e0\u05d4\u05e8\u05d0\u05d9 \u05d1\u05df \u05e0\u05e1\u05d9\u05dd \u200e,\u200e by Israel ben Nathan of Kairowan \u200e,\u200e the same persons are mentioned as in No. 17 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/ae6c6c10-e667-4f95-a01c-50076aee3a70
[u'MS. Heb. a. 2/19'],[u'A business letter in Arabic'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e paper \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'19a', u'19b']",[u'Main language: Judeo-Arabic.'],['edaqah b. Zecharia'],"[u'\u1e92edaqah b. Zecharia', u'Abu Isaac b. \u1e62ali\u1e25']",[],"[u'Letters. Arabic.', u'\u1e92edaqah b. Zecharia. Letter.']","[u'addressed to \u05d0\u05d1\u05d9 \u05d9\u05e6\u05d7\u05e7 \u05d1\u05df \u05e6\u05d0\u05dc\u05d7  by \u05e6\u05d3\u05e7\u05d4 \u05d1\u05df \u05d6\u05db\u05e8\u05d9\u05d0 \u200e,\u200e from Alexandria\u200e,\u200e in the month of Siwan\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/49976c83-1f7a-474b-8d0c-21cd19c53a58
[u'MS. Heb. a. 2/2'],[u'Marriage contract; magical formulae'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'2a', u'2b']",[u'The main language is Aramaic. Other languages included: Hebrew.'],[],"[u'Joseph b. Nissim', u'Joseph \u05d0\u05dc\u05e6\u05e8\u05e4\u05d9', u'Aaron b. Jeshua']","[u'Joseph b. Nissim', u'Joseph \u05d0\u05dc\u05e6\u05e8\u05e4\u05d9', u'Aaron b. Jeshua']","[u'Astrological fragments.', u'Deeds. Marriage.', u'Magic, treatises and notes on.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/b8f779ee-3840-49d7-bbea-14e7340b74c2
[u'MS. Heb. a. 2/20'],[u'A business letter in Arabic'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'20a', u'20b']",[u'Main language: Judeo-Arabic.'],['Musa b. Isaac'],"[u'Musa b. Isaac', u'Abu Zakari Judah b. Moses (called) b. Sigmar', u'Judah b. Moses b. Sigmar']",[],"[u'Letters. Arabic.', u'Musa b. Isaac. Letter.']","[u'dated the \u200e4\u200eth of Elul\u200e,\u200e addressed to Abu Zecharia ben Judah ben Moses ben ...  by \u05de\u05d5\u05e1\u05d9 \u05d1\u05df \u05d9\u05e6\u05d7\u05e7 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/de54c99c-acc7-4a74-a30d-0e63d75aafee
[u'MS. Heb. a. 2/21'],[u'A letter'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e Rabb\u200e.\u200e char\u200e.\u200e\u200e;\u200e paper \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'21a', u'21b']",[u'The main language is Judeo-Arabic. Other languages included: Hebrew.'],[],[u'Abu Man\u1e63ur'],[],[u'Letters. Arabic.'],"[u'beg\u200e.\u200e and end much cut\u200e,\u200e preamble in Hebrew and verso in Arabic\u200e.\u200e The following names occur\u200e:\u200e \u05d0\u05de\u05d0 \u05d0\u05dc\u05e9\u05d9\u05da \u05d0\u05dc\u05e8\u05e9\u05d3 \u05d4\u05e7\u0307\u05d1\u0307\u05d4\u0307 \u05d9\u05db\u05e4\u05d9\u05d4 \u200e,\u200e \u05d5\u05d0\u05de\u05d0 \u05d0\u05dc\u05e9\u05d9\u05da \u05d0\u05d1\u05d5 \u05de\u05e0\u05e6\u05d5\u05e8 \u05e4\u05de\u05d0 \u05e2\u05e8\u05e4\u05ea  \u200e.\u200e\u200e.\u200e\u200e.\u200e\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/fe3023ae-12e9-4ca9-ac99-5c6869d1b23e
[u'MS. Heb. a. 2/22'],[u'An Arabic letter'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e curs\u200e.\u200e char\u200e.\u200e\u200e;\u200e paper \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'22a', u'22b']",[u'Main language: Judeo-Arabic.'],[],"[u""Abu 'l-fadhl"", u'Moses', u'Obadiah']",[],[u'Letters. Arabic.'],[u'beg\u200e.\u200e missing\u200e.\u200e R\u200e.\u200e Moses  and R\u200e.\u200e Obadiah  are mentioned\u200e;\u200e on the margin is the date \u05dc\u05d9\u05dc\u05d4 \u05d0\u05dc\u05d0\u05ea\u05e0\u05d9\u05df \u05d3\u0307 \u05ea\u05de\u05d5\u05d6\u200e.\u200e The verso  contains a postscript in which \u05d0\u05dc\u05e9\u05d9\u05da \u05d0\u05d1\u05d5 \u05d0\u05dc\u05e4\u05e6\u0307\u05dc \u05d0\u05dc\u05e1\u05d5\u05e4\u05e8  is mentioned\u200e.\u200e '],http://genizah.bodleian.ox.ac.uk/profile/manuscript/39d9656d-a1a4-4828-9ef1-7abf56192ac0
[u'MS. Heb. a. 2/23'],"[u""Document concerning the cession of the property of Abu 'l-Ma\u02bfali ben Japheth to his friend Mulat daughter of R. Joseph hak-Kohen ben Adoniah""]",[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'23a', u'23b']",[u'Main language: Hebrew.'],[],"[u'Abraham b. Joseph \u05e8\u05d0\u05e9 \u05d4\u05e1\u05d3\u05e8', u'Joseph (kohen) b. Adonijah', u'Joseph b. Judah', u'Nissim b. Abraham \u05d7\u05d3\u05d9\u05e8\u05d9', u""Abu 'l-ma\u02bfali b. Japhet"", u'Mulat dtr of Joseph (kohen) b. Adonijah']","[u'Abraham b. Joseph \u05e8\u05d0\u05e9 \u05d4\u05e1\u05d3\u05e8', u'Joseph (kohen) b. Adonijah', u'Joseph b. Judah', u'Nissim b. Abraham \u05d7\u05d3\u05d9\u05e8\u05d9', u""Abu 'l-ma\u02bfali b. Japhet"", u'Mulat dtr of Joseph (kohen) b. Adonijah']",[u'Deeds. Conveyances.'],"[u'dated Wednesday the 14th of Iyyar, 810  \u200e=\u200e 1050 A.D. \u200e,\u200e in Kairowan \u200e;\u200e witnesses\u200e,\u200e Joseph ben R. Judah \u200e,\u200e Nissim bar Abraham \u05d7\u05d3\u05d9\u05e8\u05d9 \u200e,\u200e Abraham bar Joseph \u05e8\u05d0\u05e9 \u05d4\u05e1\u05d3\u05e8 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/f3f1af67-d78b-473e-a11f-27e13d526197
[u'MS. Heb. a. 2/24'],[u'A collection of Agadic sentences from the Talmud'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'24a', u'24b']",[u'Main language: Hebrew.'],[],[],[],"[u'Agadic notes and treatises.', u'Talmud, Babli. Extracts.']","[u'The first legible section beg\u200e.\u200e \u05de\u05e4\u05e0\u05d9 \u05d0\u05e8\u05d1\u05e2\u05d4 \u05d3\u05d1\u05e8\u05d9\u05dd \u05d4\u05de\u05d0\u05d5\u05e8\u05d5\u05ea \u05dc\u05d5\u05e7\u05d9\u05dd \u05e2\u05dc \u05db\u05d5\u05ea\u05d1\u05d9 \u05e4\u05dc\u05e1\u05d8\u05d4 \u05d5\u05e2\u05dc \u05de\u05e2\u05d9\u05d3\u05d9 \u05e2\u05d9\u05d3\u05d5\u05ea \u05e9\u05e7\u05e8...  \u200e(\u200eB\u200e.\u200e Talm\u200e.\u200e Succah\u200e,\u200e fol\u200e.\u200e \u200e2\u200e\u200e9\u200e\u200e)\u200e\u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/b83982b5-e8cb-483a-8750-66f5aad9f663
[u'MS. Heb. a. 2/3'],[u'Fragments of Hebrew documents'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'3a', u'3b']",[u'Main language: Hebrew.'],[],[],"[u'Aminah dtr of Moses', u'\u1e24usain b. Judah', u'Netira (kohen) b. Tobiah, of Nisibis', u'Sahl b. Judah']","[u'Deeds. Various.', u'Liturgy. \u05d8\u05dc.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/24f8e9e8-9b61-4535-8491-b9bedc1850b3
[u'MS. Heb. a. 2/4'],[u'A marriage contract between Japheth son of Solomon and Berakhah daughter of Shemariah'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'4a', u'4b']",[u'Main language: Aramaic.'],[],"[u'Abraham (hal-levi) b. Samuel', u'Baruch (?) b. \u1e24asan', u'... b. David, \u1e25azan', u'Ephraim b. Shemariah', u'Jeshua (hal-levi) b. Abraham', u'Joseph b. Man\u1e63ur (?) hal-levi', u'Mashia\u1e25 b. \u1e92ema\u1e25', u'Phinehas b. Ephraim', u'Solomon b. \u1e24akim', u'Berakhah dtr of Shemariah', u'Japhet b. Solomon']","[u'Abraham (hal-levi) b. Samuel', u'Baruch (?) b. \u1e24asan', u'... b. David, \u1e25azan', u'Ephraim b. Shemariah', u'Jeshua (hal-levi) b. Abraham', u'Joseph b. Man\u1e63ur (?) hal-levi', u'Mashia\u1e25 b. \u1e92ema\u1e25', u'Phinehas b. Ephraim', u'Solomon b. \u1e24akim', u'Berakhah dtr of Shemariah', u'Japhet b. Solomon']",[u'Deeds. Marriage.'],"[u'made at Fostat on the Nile\u200e,\u200e on Tuesday the 4th of Mar\u1e25eshwan, 1341 Sel.  \u200e=\u200e 1030 A.D. \u200e,\u200e witnessed by .. \u05d4\u05d7\u05d6\u05df \u05d1\u05d9\u05e8\u05d1\u05d9 \u05d3\u05d5\u05d9\u05d3 \u05d4\u05d7\u05d6\u05df \u200e,\u200e Solomon bar \u1e24akim \u200e,\u200e Mashia\u1e25 bar Zema\u1e25 \u200e,\u200e Abraham hal-Levi bar Samuel \u200e,\u200e Phinehas ben Ephraim \u200e,\u200e Joseph bar Man\u1e63ur ? hal-Levi \u200e,\u200e Jeshuah hal-Levi bar Abraham \u05e1\u0307\u05e0\u0307\u05d2\u0307 \u200e,\u200e Baruch ? bar \u1e24asn  and \u05d0\u05e4\u05e8\u05d9\u05dd \u05d6\u0307\u05e2\u0307 \u05d4\u05d7\u05d1\u05e8 \u05d1\u0307\u05e1\u0307\u05d2\u0307 \u05d1\u05e8 \u05e9\u05de\u05e8\u05d9\u05d4 \u200e.\u200e ']",http://genizah.bodleian.ox.ac.uk/profile/manuscript/40d85273-caad-442e-aa96-6fb3e3ef93d4
[u'MS. Heb. a. 2/5'],[u'Marriage contract; Leviticus'],[u'MS. Heb. a. 2'],[u'Or\u200e.\u200e squ\u200e.\u200e char\u200e.\u200e\u200e;\u200e vellum \u200e.\u200e '],"[u'Bought through the Rev. G. J. Chester, 1890-1 (from the Genizah).']","[u'5a', u'5b']",[u'The main language is Hebrew. Other languages included: Aramaic.'],[],[],"[u'... b. Kathir', u'Mubarakah dtr of Solomon Kahna']","[u'Bible. Leviticus.', u'Deeds. Marriage.']",[],http://genizah.bodleian.ox.ac.uk/profile/manuscript/123f55d1-1b91-47d7-979f-1ae82eca51c7
